avg_val_loss,f1,epoch,created_at,loss,gpu_0
2.970595598220825,0.0010666666666666665,1.0,2019-09-04 14:02:29.461144,,
,,0.0,2019-09-04 14:02:29.652736,3.006,1429.0
,,0.0,2019-09-04 14:02:35.775109,0.54,1431.0
,,0.0,2019-09-04 14:02:41.954575,0.299,1431.0
,,0.0,2019-09-04 14:02:48.142823,0.257,1431.0
0.21492645144462585,0.35190097259062775,1.0,2019-09-04 14:02:54.206504,,
0.21492645144462585,0.35190097259062775,1.0,2019-09-04 14:02:54.838542,0.25,1507.0
0.21492645144462585,0.35190097259062775,1.0,2019-09-04 14:03:01.022485,0.223,1507.0
0.21492645144462585,0.35190097259062775,1.0,2019-09-04 14:03:07.338359,0.19,1507.0
0.21492645144462585,0.35190097259062775,1.0,2019-09-04 14:03:13.739052,0.18,1507.0
0.1692255288362503,0.49960598896769115,2.0,2019-09-04 14:03:19.941233,,
0.1692255288362503,0.49960598896769115,2.0,2019-09-04 14:03:20.746578,0.17,1507.0
0.1692255288362503,0.49960598896769115,2.0,2019-09-04 14:03:27.217433,0.158,1507.0
0.1692255288362503,0.49960598896769115,2.0,2019-09-04 14:03:33.492065,0.171,1507.0
0.1692255288362503,0.49960598896769115,2.0,2019-09-04 14:03:39.787168,0.159,1507.0
0.15753227472305298,0.5373831775700934,3.0,2019-09-04 14:03:46.038003,,
0.15753227472305298,0.5373831775700934,3.0,2019-09-04 14:03:46.857009,0.157,1507.0
0.15753227472305298,0.5373831775700934,3.0,2019-09-04 14:03:53.274046,0.144,1507.0
0.15753227472305298,0.5373831775700934,3.0,2019-09-04 14:03:59.425996,0.138,1507.0
0.15753227472305298,0.5373831775700934,3.0,2019-09-04 14:04:05.725568,0.137,1507.0
0.1518288552761078,0.5288461538461537,4.0,2019-09-04 14:04:12.083902,,
0.1518288552761078,0.5288461538461537,4.0,2019-09-04 14:04:12.249175,0.143,1507.0
0.1518288552761078,0.5288461538461537,4.0,2019-09-04 14:04:18.663471,0.12,1507.0
0.1518288552761078,0.5288461538461537,4.0,2019-09-04 14:04:25.157228,0.14,1507.0
0.1518288552761078,0.5288461538461537,4.0,2019-09-04 14:04:31.518743,0.121,1507.0
0.14586180448532104,0.566542750929368,5.0,2019-09-04 14:04:37.921971,,
0.14586180448532104,0.566542750929368,5.0,2019-09-04 14:04:38.635478,0.123,1507.0
0.14586180448532104,0.566542750929368,5.0,2019-09-04 14:04:45.126210,0.115,1507.0
0.14586180448532104,0.566542750929368,5.0,2019-09-04 14:04:51.273510,0.102,1507.0
0.14586180448532104,0.566542750929368,5.0,2019-09-04 14:04:57.466417,0.111,1507.0
0.1442212611436844,0.5672299779573843,6.0,2019-09-04 14:05:03.757356,,
0.1442212611436844,0.5672299779573843,6.0,2019-09-04 14:05:04.499227,0.117,1507.0
0.1442212611436844,0.5672299779573843,6.0,2019-09-04 14:05:10.631232,0.102,1507.0
0.1442212611436844,0.5672299779573843,6.0,2019-09-04 14:05:16.686830,0.092,1507.0
0.1442212611436844,0.5672299779573843,6.0,2019-09-04 14:05:22.843532,0.095,1507.0
0.14146052300930023,0.5829528158295282,7.0,2019-09-04 14:05:29.254952,,
0.14146052300930023,0.5829528158295282,7.0,2019-09-04 14:05:29.997544,0.102,1507.0
0.14146052300930023,0.5829528158295282,7.0,2019-09-04 14:05:36.224193,0.08,1507.0
0.14146052300930023,0.5829528158295282,7.0,2019-09-04 14:05:42.178214,0.087,1507.0
0.14146052300930023,0.5829528158295282,7.0,2019-09-04 14:05:48.276122,0.081,1507.0
0.14652523398399353,0.5897435897435899,8.0,2019-09-04 14:05:54.572004,,
0.14652523398399353,0.5897435897435899,8.0,2019-09-04 14:05:55.260717,0.082,1507.0
0.14652523398399353,0.5897435897435899,8.0,2019-09-04 14:06:01.444044,0.069,1507.0
0.14652523398399353,0.5897435897435899,8.0,2019-09-04 14:06:07.881257,0.072,1507.0
0.14652523398399353,0.5897435897435899,8.0,2019-09-04 14:06:14.115841,0.076,1507.0
0.14804679155349731,0.5899925317401046,9.0,2019-09-04 14:06:20.435003,,
0.14804679155349731,0.5899925317401046,9.0,2019-09-04 14:06:21.254202,0.075,1507.0
0.14804679155349731,0.5899925317401046,9.0,2019-09-04 14:06:27.533845,0.057,1507.0
0.14804679155349731,0.5899925317401046,9.0,2019-09-04 14:06:33.835065,0.056,1507.0
0.14804679155349731,0.5899925317401046,9.0,2019-09-04 14:06:39.996981,0.066,1507.0
0.14915788173675537,0.6193050193050192,10.0,2019-09-04 14:06:46.300609,,
0.14915788173675537,0.6193050193050192,10.0,2019-09-04 14:06:46.991516,0.068,1507.0
0.14915788173675537,0.6193050193050192,10.0,2019-09-04 14:06:53.250660,0.047,1507.0
0.14915788173675537,0.6193050193050192,10.0,2019-09-04 14:06:59.578595,0.049,1507.0
0.14915788173675537,0.6193050193050192,10.0,2019-09-04 14:07:05.749294,0.055,1507.0
0.15527063608169556,0.6,11.0,2019-09-04 14:07:11.944661,,
0.15527063608169556,0.6,11.0,2019-09-04 14:07:12.133446,0.054,1507.0
0.15527063608169556,0.6,11.0,2019-09-04 14:07:18.322572,0.039,1507.0
0.15527063608169556,0.6,11.0,2019-09-04 14:07:24.524541,0.042,1507.0
0.15527063608169556,0.6,11.0,2019-09-04 14:07:30.627437,0.047,1507.0
0.15636926889419556,0.609340252038547,12.0,2019-09-04 14:07:36.951128,,
